model,relevance_tier,year,title,authors,source,work_type,doi,landing_page,open_access_status,is_oa,cited_by_count,openalex_id
HYSPLIT,core_or_named_application,2026,Seasonal dispersion and trajectory-based source assessment of particulate air pollutants: an integrated monitoring and HYSPLIT modeling approach,Aniket B. Chavan; Vaibhav A Bokade; Dilip H. Lataye,Environmental Monitoring and Assessment,article,https://doi.org/10.1007/s10661-026-15017-6,https://doi.org/10.1007/s10661-026-15017-6,closed,False,2,https://openalex.org/W7127621864
HYSPLIT,core_or_named_application,2026,A spatial explicit method combining HYSPLIT and random forest for predicting the next-day pollen index at urban scale,Zihang Huang; Teng Fei; Meng Bian,Aerobiologia,article,https://doi.org/10.1007/s10453-025-09896-4,https://doi.org/10.1007/s10453-025-09896-4,hybrid,True,1,https://openalex.org/W7120057560
HYSPLIT,core_or_named_application,2026,"HYSPLIT Back-trajectory script for Figure 1 in ""Contrasting drivers of South Asian summer and winter monsoon evolution during the last deglaciation""",Alexander Budsky; Igor Obreht,Zenodo (CERN European Organization for Nuclear Research),software,https://doi.org/10.5281/zenodo.20133814,https://doi.org/10.5281/zenodo.20133814,green,True,1,https://openalex.org/W7160918259
HYSPLIT,core_or_named_application,2026,Analysis and source identification of dust event in Khuzestan province using MODIS and SENTINEL satellite data and HYSPLIT model (2018–2022),Alireza Yousefi Kebriya; Mehdi Nadi; Ebadat Ghanbari Parmehr; Zhongchang Sun,PLoS ONE,article,https://doi.org/10.1371/journal.pone.0348129,https://doi.org/10.1371/journal.pone.0348129,gold,True,0,https://openalex.org/W7160535889
HYSPLIT,core_or_named_application,2026,Consequence Analysis in the Case of a Severe Accident in Barakah Nuclear Power Plant—Evaluation of Atmospheric Dispersion of Radioactive Materials and Exposure Doses During Severe Accident Using HYSPLIT,Abdulla Bin Tamim; T. Sakai,Springer proceedings in physics,conference-paper,https://doi.org/10.1007/978-981-95-3449-4_25,https://doi.org/10.1007/978-981-95-3449-4_25,closed,False,0,https://openalex.org/W7117960531
HYSPLIT,core_or_named_application,2026,Early retirement of coal-fired power plants in Indonesia: A comprehensive analysis of emissions (from Sentinel 5p and HYSPLIT) and population impact,Dessy Fadiilah; Adrian Dye,Total Environment Advances,article,https://doi.org/10.1016/j.teadva.2026.200145,https://doi.org/10.1016/j.teadva.2026.200145,hybrid,True,0,https://openalex.org/W7129444683
HYSPLIT,core_or_named_application,2026,HYSPLIT,En Li,Zenodo (CERN European Organization for Nuclear Research),software,https://doi.org/10.5281/zenodo.19699171,https://doi.org/10.5281/zenodo.19699171,green,True,0,https://openalex.org/W7155170322
HYSPLIT,core_or_named_application,2026,HYSPLIT,En Li,Zenodo (CERN European Organization for Nuclear Research),software,https://doi.org/10.5281/zenodo.19699172,https://doi.org/10.5281/zenodo.19699172,green,True,0,https://openalex.org/W7155167227
HYSPLIT,core_or_named_application,2026,HYSPLIT air-mass trajectories supporting Valiente et al. (2011),David Corell; María José Estrela; José Antonio Valiente,Open MIND,dataset,https://doi.org/10.5281/zenodo.18448155,,green,True,0,https://openalex.org/W7133125923
HYSPLIT,core_or_named_application,2026,HYSPLIT air-mass trajectories supporting Valiente et al. (2011),David Corell; María José Estrela; José Antonio Valiente,Zenodo (CERN European Organization for Nuclear Research),dataset,https://doi.org/10.5281/zenodo.18448154,https://doi.org/10.5281/zenodo.18448154,green,True,0,https://openalex.org/W7133154971
